strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,0,0,N/A,22200-22400
22400,0,0,N/A,9230,0,N/A,22400-22600
22600,0,0,N/A,16055,1495,Short Buildup,22600-22800
22800,0,0,N/A,63960,15080,Short Buildup,22800-23000
23000,0,0,N/A,199160,49985,Short Buildup,23000-23200
23200,0,0,N/A,147680,89960,Short Buildup,23200-23400
23400,0,0,N/A,465335,18980,Short Buildup,23400-23600
23600,7410,2275,Long Buildup,127920,3055,Short Buildup,23600-23800
23800,152295,120185,Long Buildup,260390,102115,Short Buildup,23800-24000
24000,664300,338910,Long Buildup,508430,235105,Short Buildup,24000-24200
24200,219505,85930,Long Buildup,83135,20995,Short Buildup,24200-24400
24400,213915,96460,Long Buildup,23530,260,Short Buildup,24400-24600
24600,238095,55835,Long Buildup,325,-65,Long Unwinding,24600-24800
24800,128050,27820,Short Buildup,0,-65,Long Unwinding,24800-25000
25000,153920,29055,Short Buildup,65,65,Short Buildup,25000-25200
25200,100945,31005,Short Buildup,0,0,N/A,25200-25400
25400,13065,2080,Short Buildup,0,0,N/A,25400-25600
25600,28340,-15145,Long Unwinding,0,0,N/A,25600-25800
25800,4745,-65,Long Unwinding,0,0,N/A,25800-26000
26000,102960,12480,Short Buildup,0,0,N/A,26000-26200
26200,0,0,N/A,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
