strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,245115,89115,Short Buildup,22000-22200
22200,0,0,N/A,12610,1495,Short Buildup,22200-22400
22400,0,0,N/A,15860,7800,Short Buildup,22400-22600
22600,0,0,N/A,30095,14885,Short Buildup,22600-22800
22800,0,0,N/A,78520,21970,Short Buildup,22800-23000
23000,780,130,Short Buildup,346905,80795,Long Buildup,23000-23200
23200,0,0,N/A,94575,8775,Long Buildup,23200-23400
23400,0,0,N/A,164905,6630,Short Buildup,23400-23600
23600,65,0,N/A,264290,42835,Long Buildup,23600-23800
23800,8385,6240,Short Buildup,301730,133380,Long Buildup,23800-24000
24000,47450,12480,Short Buildup,446550,107575,Long Buildup,24000-24200
24200,78130,33410,Short Buildup,216125,93860,Long Buildup,24200-24400
24400,360620,84045,Short Buildup,273845,61750,Long Buildup,24400-24600
24600,254215,70590,Short Buildup,74880,-2860,Short Covering,24600-24800
24800,372320,150930,Short Buildup,24700,2600,Short Buildup,24800-25000
25000,1040910,408070,Short Buildup,16705,390,Long Buildup,25000-25200
25200,412685,-173290,Long Unwinding,260,195,Short Buildup,25200-25400
25400,202930,-28535,Long Unwinding,0,0,N/A,25400-25600
25600,19500,19500,Long Buildup,0,0,N/A,25600-25800
25800,49270,-7475,Long Unwinding,0,0,N/A,25800-26000
26000,196755,18005,Short Buildup,390,195,Short Buildup,26000-26200
26200,20215,15665,Short Buildup,0,0,N/A,26200-26400
26400,16835,11050,Short Buildup,0,0,N/A,26400-26600
26600,2665,-260,Long Unwinding,0,0,N/A,26600-26800
26800,4485,0,N/A,0,0,N/A,26800-27000
27000,25675,5850,Short Buildup,0,0,N/A,27000-27200
27200,10595,3705,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
