timestamp_ist,expiry,ce_oi,ce_chg_oi,ce_ltp,ce_iv,ce_volume,strike,pe_volume,pe_iv,pe_ltp,pe_chg_oi,pe_oi,ce_buildup,pe_buildup
2026-08-05 10:00,2026-09-29,483925,-130,3809,0,195,21000,40300,0,16.2,-10725,1476215,N/A,N/A
2026-08-05 10:00,2026-09-29,0,0,0,0,0,21200,0,0,0,0,0,N/A,N/A
2026-08-05 10:00,2026-09-29,0,0,0,0,0,21400,0,0,0,0,0,N/A,N/A
2026-08-05 10:00,2026-09-29,1365,-65,2922,0,0,21600,18395,0,16.95,-5070,39520,N/A,N/A
2026-08-05 10:00,2026-09-29,0,0,0,0,0,21800,975,0,19,-65,34190,N/A,N/A
2026-08-05 10:00,2026-09-29,55705,65,2800,0,260,22000,33995,0,20.6,1430,692770,N/A,N/A
2026-08-05 10:00,2026-09-29,0,0,0,0,0,22200,6825,0,23.95,2470,46020,N/A,N/A
2026-08-05 10:00,2026-09-29,0,-195,1738.55,0,0,22400,4745,0,26.2,-975,46475,N/A,N/A
2026-08-05 10:00,2026-09-29,130,-65,1734.3,0,0,22600,6630,0,31.4,-2600,34190,N/A,N/A
2026-08-05 10:00,2026-09-29,455,0,1650.5,0,0,22800,18330,0,37.8,-3705,171665,N/A,N/A
2026-08-05 10:00,2026-09-29,125840,-65,1830.1,0,2535,23000,158990,0,44.4,17290,2224765,N/A,N/A
2026-08-05 10:00,2026-09-29,1755,-65,1575,0,0,23200,46930,0,56.1,-14235,191555,N/A,N/A
2026-08-05 10:00,2026-09-29,3445,0,1480,0,325,23400,21515,0,70.2,-65,117195,N/A,N/A
2026-08-05 10:00,2026-09-29,4810,-65,1237.45,0,0,23600,30550,0,87.3,14235,146510,N/A,N/A
2026-08-05 10:00,2026-09-29,15990,-130,1132.5,0,195,23800,55250,0,111.4,6825,349180,N/A,N/A
2026-08-05 10:00,2026-09-29,1387815,-9490,961,0,44395,24000,222885,0,144.45,21190,2338650,N/A,N/A
2026-08-05 10:00,2026-09-29,81315,-1820,801,0,6630,24200,75205,0,188.95,-16965,299520,N/A,N/A
2026-08-05 10:00,2026-09-29,93275,-10595,663.25,0,22880,24400,38610,0,245,3705,153790,N/A,N/A
2026-08-05 10:00,2026-09-29,127985,-7540,534.05,0,37505,24600,51090,0,310.8,7540,174005,N/A,N/A
2026-08-05 10:00,2026-09-29,223015,-325,420.3,0,39585,24800,25025,0,389,13000,158470,N/A,N/A
2026-08-05 10:00,2026-09-29,1573455,6435,322.3,0,363675,25000,80730,0,488,11440,1102120,N/A,N/A
2026-08-05 10:00,2026-09-29,172380,5590,235.05,0,39065,25200,26260,0,609,14105,28275,N/A,N/A
2026-08-05 10:00,2026-09-29,145210,10530,169.95,0,34190,25400,65,0,725.95,0,975,N/A,N/A
2026-08-05 10:00,2026-09-29,0,0,0,0,0,25600,0,0,999.3,0,520,N/A,N/A
2026-08-05 10:00,2026-09-29,224705,1950,82.45,0,36725,25800,0,0,1130,0,715,N/A,N/A
2026-08-05 10:00,2026-09-29,2601030,-5135,58.4,0,241020,26000,17615,0,1211,11180,782845,N/A,N/A
2026-08-05 10:00,2026-09-29,149240,-1105,38.85,0,33475,26200,0,0,1750,65,195,N/A,N/A
